593	Musca acuminata	acuminata Musca
594	Parnus acuminatus	acuminatus Parnus
595	Pimelia acuminata	acuminata Pimelia
596	Rhinoceros acuminata	acuminata Rhinoceros
597	Scarabaeus acuminatus	acuminatus Scarabaeus (Fab.)
598	Tenebrio acuminatus	acuminatus Tenebrio
599	Tenebrio acuminatus	acuminatus Tenebrio (Fab.)
600	Voluta acuminata	acuminata Voluta
